x	rhoN2	rhoO2	rhoNO	rhoN	rhoO	u	T	Tv
0.003750	0.000242	0.000075	-0.000000	0.000000	0.000000	3498.753788	354.223166	350.000000
0.011250	0.000250	0.000077	0.000000	0.000000	0.000000	3497.492193	358.496927	350.000000
0.018750	0.000257	0.000079	0.000000	-0.000000	0.000000	3496.215334	362.820826	350.000001
0.026250	0.000265	0.000082	-0.000000	-0.000000	0.000000	3494.923359	367.194310	350.000001
0.033750	0.000273	0.000084	-0.000000	0.000000	0.000000	3493.616442	371.616728	350.000002
0.041250	0.000282	0.000087	-0.000000	0.000000	0.000000	3492.294790	376.087326	350.000003
0.048750	0.000290	0.000090	0.000000	-0.000000	0.000000	3490.958642	380.605237	350.000004
0.056250	0.000299	0.000092	-0.000000	0.000000	0.000000	3489.608272	385.169480	350.000005
0.063750	0.000309	0.000095	0.000000	0.000000	0.000000	3488.243991	389.778949	350.000007
0.071250	0.000318	0.000098	0.000000	-0.000000	0.000000	3486.866148	394.432410	350.000009
0.078750	0.000328	0.000101	0.000000	-0.000000	0.000000	3485.475134	399.128490	350.000012
0.086250	0.000338	0.000104	0.000000	-0.000000	-0.000000	3484.071382	403.865676	350.000015
0.093750	0.000348	0.000107	-0.000000	-0.000000	-0.000000	3482.655368	408.642305	350.000019
0.101250	0.000358	0.000110	0.000000	0.000000	-0.000000	3481.227619	413.456557	350.000023
0.108750	0.000369	0.000114	-0.000000	-0.000000	0.000000	3479.788707	418.306449	350.000029
0.116250	0.000380	0.000117	-0.000000	-0.000000	0.000000	3478.339258	423.189830	350.000035
0.123750	0.000391	0.000121	0.000000	-0.000000	-0.000000	3476.879951	428.104372	350.000043
0.131250	0.000403	0.000124	0.000000	-0.000000	-0.000000	3475.411517	433.047565	350.000052
0.138750	0.000415	0.000128	0.000000	0.000000	-0.000000	3473.934749	438.016711	350.000062
0.146250	0.000427	0.000132	0.000000	-0.000000	-0.000000	3472.450495	443.008917	350.000074
0.153750	0.000439	0.000135	0.000000	-0.000000	-0.000000	3470.959665	448.021093	350.000088
0.161250	0.000452	0.000139	0.000000	-0.000000	-0.000000	3469.463232	453.049941	350.000103
0.168750	0.000464	0.000143	0.000000	-0.000000	0.000000	3467.962232	458.091957	350.000121
0.176250	0.000478	0.000147	0.000000	0.000000	-0.000000	3466.457768	463.143423	350.000142
0.183750	0.000491	0.000151	-0.000000	-0.000000	-0.000000	3464.951007	468.200403	350.000165
0.191250	0.000504	0.000156	-0.000000	0.000000	-0.000000	3463.443184	473.258745	350.000191
0.198750	0.000518	0.000160	0.000000	-0.000000	0.000000	3461.935604	478.314075	350.000220
0.206250	0.000532	0.000164	-0.000000	0.000000	-0.000000	3460.429636	483.361797	350.000253
0.213750	0.000546	0.000169	-0.000000	0.000000	-0.000000	3458.926723	488.397094	350.000290
0.221250	0.000561	0.000173	-0.000000	-0.000000	0.000000	3457.428371	493.414931	350.000330
0.228750	0.000575	0.000177	0.000000	-0.000000	0.000000	3455.936156	498.410053	350.000376
0.236250	0.000590	0.000182	0.000000	-0.000000	0.000000	3454.451722	503.376993	350.000426
0.243750	0.000605	0.000187	0.000000	-0.000000	0.000000	3452.976774	508.310075	350.000482
0.251250	0.000620	0.000191	0.000000	-0.000000	-0.000000	3451.513084	513.203423	350.000542
0.258750	0.000635	0.000196	0.000000	-0.000000	0.000000	3450.062483	518.050966	350.000609
0.266250	0.000650	0.000200	0.000000	-0.000000	0.000000	3448.626861	522.846449	350.000682
0.273750	0.000665	0.000205	-0.000000	0.000000	0.000000	3447.208160	527.583446	350.000761
0.281250	0.000680	0.000210	-0.000000	-0.000000	0.000000	3445.808375	532.255373	350.000847
0.288750	0.000695	0.000214	-0.000000	-0.000000	0.000000	3444.429547	536.855499	350.000940
0.296250	0.000710	0.000219	-0.000000	-0.000000	0.000000	3443.073757	541.376970	350.001040
0.303750	0.000725	0.000224	-0.000000	-0.000000	0.000000	3441.743122	545.812821	350.001148
0.311250	0.000740	0.000228	-0.000000	-0.000000	0.000000	3440.439787	550.156000	350.001263
0.318750	0.000754	0.000233	0.000000	-0.000000	0.000000	3439.165921	554.399389	350.001385
0.326250	0.000769	0.000237	0.000000	-0.000000	0.000000	3437.923708	558.535827	350.001516
0.333750	0.000783	0.000241	-0.000000	-0.000000	0.000000	3436.715337	562.558138	350.001654
0.341250	0.000797	0.000246	-0.000000	0.000000	0.000000	3435.543000	566.459153	350.001800
0.348750	0.000811	0.000250	-0.000000	-0.000000	0.000000	3434.408876	570.231745	350.001953
0.356250	0.000824	0.000254	-0.000000	-0.000000	0.000000	3433.315128	573.868851	350.002115
0.363750	0.000837	0.000258	0.000000	-0.000000	0.000000	3432.263888	577.363509	350.002283
0.371250	0.000849	0.000262	-0.000000	-0.000000	0.000000	3431.257253	580.708884	350.002459
0.378750	0.000861	0.000266	-0.000000	-0.000000	0.000000	3430.297269	583.898305	350.002642
0.386250	0.000873	0.000269	0.000000	-0.000000	0.000000	3429.385929	586.925292	350.002832
0.393750	0.000884	0.000272	0.000000	-0.000000	0.000000	3428.525153	589.783591	350.003028
0.401250	0.000894	0.000276	0.000000	-0.000000	0.000000	3427.716787	592.467207	350.003230
0.408750	0.000904	0.000279	0.000000	-0.000000	0.000000	3426.962586	594.970432	350.003437
0.416250	0.000913	0.000281	0.000000	-0.000000	0.000000	3426.264211	597.287881	350.003650
0.423750	0.000921	0.000284	0.000000	-0.000000	0.000000	3425.623212	599.414518	350.003868
0.431250	0.000929	0.000286	0.000000	-0.000000	0.000000	3425.041028	601.345683	350.004090
0.438750	0.000936	0.000289	0.000000	-0.000000	0.000000	3424.518970	603.077125	350.004315
0.446250	0.000942	0.000290	0.000000	-0.000000	0.000000	3424.058219	604.605018	350.004545
0.453750	0.000947	0.000292	0.000000	-0.000000	0.000000	3423.659817	605.925992	350.004777
0.461250	0.000951	0.000293	0.000000	-0.000000	-0.000000	3423.324660	607.037146	350.005011
0.468750	0.000955	0.000295	0.000000	-0.000000	-0.000000	3423.053494	607.936071	350.005248
0.476250	0.000958	0.000295	0.000000	-0.000000	-0.000000	3422.846909	608.620860	350.005486
0.483750	0.000960	0.000296	0.000000	-0.000000	-0.000000	3422.705337	609.090120	350.005725
0.491250	0.000961	0.000296	0.000000	-0.000000	-0.000000	3422.629049	609.342983	350.005964
0.498750	0.000961	0.000296	0.000000	-0.000000	-0.000000	3422.618151	609.379108	350.006203
0.506250	0.000960	0.000296	0.000000	-0.000000	-0.000000	3422.672588	609.198682	350.006442
0.513750	0.000959	0.000296	0.000000	-0.000000	-0.000000	3422.792140	608.802421	350.006680
0.521250	0.000956	0.000295	0.000000	-0.000000	-0.000000	3422.976428	608.191561	350.006916
0.528750	0.000953	0.000294	0.000000	-0.000000	-0.000000	3423.224913	607.367854	350.007151
0.536250	0.000949	0.000293	0.000000	-0.000000	0.000000	3423.536902	606.333549	350.007383
0.543750	0.000944	0.000291	0.000000	-0.000000	0.000000	3423.911552	605.091388	350.007611
0.551250	0.000938	0.000289	0.000000	-0.000000	0.000000	3424.347874	603.644578	350.007837
0.558750	0.000931	0.000287	0.000000	-0.000000	0.000000	3424.844742	601.996776	350.008059
0.566250	0.000924	0.000285	0.000000	-0.000000	0.000000	3425.400899	600.152067	350.008276
0.573750	0.000916	0.000282	0.000000	0.000000	0.000000	3426.014963	598.114937	350.008489
0.581250	0.000907	0.000280	0.000000	0.000000	-0.000000	3426.685439	595.890247	350.008696
0.588750	0.000897	0.000277	0.000000	0.000000	-0.000000	3427.410723	593.483207	350.008898
0.596250	0.000887	0.000274	0.000000	0.000000	-0.000000	3428.189117	590.899344	350.009094
0.603750	0.000876	0.000270	0.000000	-0.000000	-0.000000	3429.018833	588.144470	350.009284
0.611250	0.000865	0.000267	0.000000	0.000000	-0.000000	3429.898007	585.224656	350.009467
0.618750	0.000853	0.000263	-0.000000	-0.000000	-0.000000	3430.824706	582.146198	350.009644
0.626250	0.000841	0.000259	-0.000000	-0.000000	-0.000000	3431.796939	578.915582	350.009813
0.633750	0.000828	0.000255	-0.000000	-0.000000	0.000000	3432.812666	575.539460	350.009975
0.641250	0.000815	0.000251	-0.000000	-0.000000	0.000000	3433.869812	572.024611	350.010129
0.648750	0.000802	0.000247	-0.000000	-0.000000	-0.000000	3434.966268	568.377915	350.010276
